Titolo,Link,Prompt Title,Contenuto
ChatGPT gets memory upgrade,https://www.superhuman.ai/p/chatgpt-gets-memory-upgrade,Titolo del prompt non trovato.,"Format: Always use bullet points/numbered lists/ short sentences when I ask for a summary.

Role: I am an [insert your profession]. Tailor all your answers to my role.

Company/Industry: I work at [describe company or industry]. Tailor all your answers to my company.

Constraints: I am a professor and I teach 60 minute classes. When I prompt you for a lesson plan, give me lesson plans that can be taught in under 60 minutes."
"AI behind major market shifts, as Nvidia surpasses Amazon and Microsoft piles the pressure on AWS",https://www.superhuman.ai/p/ai-behind-major-market-shifts-nvidia-surpasses-amazon-microsoft-piles-pressure-aws,Titolo del prompt non trovato.,prompt: Over the shoulder shot of a person holding a [insert device] with a completely blank [insert color] screen
How big US companies are using AI to monitor employees,https://www.superhuman.ai/p/big-us-companies-using-ai-monitor-employees,Titolo del prompt non trovato.,Prompt: Run a basic analysis on this spreadsheet and generate charts based on the data
"Google launches Gemini Ultra, its ChatGPT killer",https://www.superhuman.ai/p/google-launches-gemini-ultra-chatgpt-killer,Titolo del prompt non trovato.,Contenuto non trovato.
Microsoft brings AI to the Super Bowl with upgraded features,https://www.superhuman.ai/p/microsoft-brings-ai-super-bowl-upgraded-features,Titolo del prompt non trovato.,"Prompt 1: Woman with blonde hair at a cafe, blurred background"
OpenAI and Meta announce efforts to fight AI-generated deepfakes,https://www.superhuman.ai/p/openai-meta-announce-efforts-fight-aigenerated-deepfakes,Titolo del prompt non trovato.,"Prompt: a futuristic robot made of porcelain in the style of Yadro, highly decorated with blue painting and gold ornaments in the style of rococo, art gallery illumination, dark bokeh background --ar 16:9 --stylize 890 --v 6"
AI decodes ancient Roman scrolls lost to volcano,https://www.superhuman.ai/p/ai-decodes-ancient-roman-scrolls-lost-volcano,Titolo del prompt non trovato.,"Prompt: [insert URL or text]
Convert this [document type] into a video
My audience includes [insert your audience] and I will post the video on [insert platform]"
Why the Apple Vision Pro matters,https://www.superhuman.ai/p/apple-vision-pro-matters,Titolo del prompt non trovato.,Contenuto non trovato.
Zuck gets bullish on AI as Meta reaches record high,https://www.superhuman.ai/p/zuck-gets-bullish-ai-meta-reaches-record-high,Titolo del prompt non trovato.,prompt: a photo of [enter room here] in a giant mansion on Mars 240 years in the future with views of martian mountains and sunsets. It is getting dark - stylize 250 --v 6
Ethereum cofounder Vitalik Beuterin outlines his vision for crypto and AI applications,https://www.superhuman.ai/p/ethereum-cofounder-vitalik-beuterin-outlines-vision-crypto-ai-applications,Titolo del prompt non trovato.,prompt: [insert YouTube URL] summarize this video in bullet points with proper headings
OpenAI is reportedly in talks to back a humanoid robot maker,https://www.superhuman.ai/p/openai-reportedly-talks-back-humanoid-robot-maker,Titolo del prompt non trovato.,"prompt: A poster for a beautiful mountain village with the headline ""The Shire"" in big stylized font at the top --niji 6"
Neuralink implants brain tech in human patient for the first time,https://www.superhuman.ai/p/neuralink-implants-brain-tech-human-patient-first-time,Titolo del prompt non trovato.,Contenuto non trovato.
Google's Gemini is breathing down GPT-4's neck,https://www.superhuman.ai/p/googles-gemini-breathing-gpt4s-neck,Titolo del prompt non trovato.,Contenuto non trovato.
OpenAI fixes 'laziness' problem in ChatGPT,https://www.superhuman.ai/p/openai-fixes-laziness-problem-chatgpt,Titolo del prompt non trovato.,"Sample prompt: A scene from a black and white TV show from the 1950s, the character Eleven from Stranger Things looking at the camera --v 6.0 --ar 16:9"
Meta's new prompt engineering guide shows you how to become a prompting pro,https://www.superhuman.ai/p/metas-new-prompt-engineering-guide-shows-become-prompting-pro,Titolo del prompt non trovato.,"prompt used: aerial photography soap bubble inspired architecture cluster with modern minimal furniture inside, [insert background, i.e: beach or forest] context. ar 4:5 --v 6"
AI is reshaping how we build cities,https://www.superhuman.ai/p/ai-reshaping-build-cities,Titolo del prompt non trovato.,"prompt used: A little cat wearing pajamas and [insert activity]. Warm lights and some indoor plants. The entire scene gives a warm and comfortable feeling, creating a relaxed and resting atmosphere - ar 2:3-v 6-iw 2 --ar 9:16 --stylize 750 --v 6.0"
MIT research finds it doesn't make sense to replace most jobs with AI,https://www.superhuman.ai/p/mit-research-finds-doesnt-make-sense-replace-jobs-ai,Titolo del prompt non trovato.,"prompt before: two people sitting at a dinner table --ar 1:1 --v 6

prompt after: 35mm film still of a man and a woman sitting next to each other at a circular dinner table --style raw --ar 16:9 --v 6"
Sam Altman reportedly looks to raise billion for new chip venture,https://www.superhuman.ai/p/sam-altman-reportedly-looks-raise-billion-new-chip-venture,Titolo del prompt non trovato.,prompt: Is there any evidence to show that AI improves productivity in the workplace?
Zuckerberg lays out Meta's ambitious AI plans,https://www.superhuman.ai/p/zuckerberg-lays-metas-ambitious-plans,Titolo del prompt non trovato.,Contenuto non trovato.
Samsung starts the era of AI phones with new Galaxy S24 lineup,https://www.superhuman.ai/p/samsung-starts-era-ai-phones-new-galaxy-s24-lineup,Titolo del prompt non trovato.,"prompt: Create a social media post about a running shoe with the headline ""Faster Than Ever"""
AI dominates the agenda at Davos,https://www.superhuman.ai/p/ai-dominates-agenda-davos,Titolo del prompt non trovato.,Contenuto non trovato.
Microsoft unleashes AI in the office,https://www.superhuman.ai/p/microsoft-unleashes-ai-office,Titolo del prompt non trovato.,Contenuto non trovato.
Study finds AI models can be trained to deceive,https://www.superhuman.ai/p/study-finds-ai-models-can-trained-deceive,Titolo del prompt non trovato.,Contenuto non trovato.
The best AI gadgets from CES,https://www.superhuman.ai/p/best-ai-gadgets-ces,Titolo del prompt non trovato.,Contenuto non trovato.
OpenAI releases the app store of AI,https://www.superhuman.ai/p/openai-releases-app-store-ai,Titolo del prompt non trovato.,Contenuto non trovato.
A mobile device without apps,https://www.superhuman.ai/p/mobile-device-without-apps,Titolo del prompt non trovato.,Contenuto non trovato.
OpenAI responds to New York Times lawsuit,https://www.superhuman.ai/p/openai-responds-new-york-times-lawsuit,Titolo del prompt non trovato.,Contenuto non trovato.
The ChatGPT moment for robotics,https://www.superhuman.ai/p/chatgpt-moment-robotics,Titolo del prompt non trovato.,Explain [insert topic] to me as if I'm a beginner in the field.
Jeff Bezos backs Google challenger,https://www.superhuman.ai/p/jeff-bezos-backs-google-challenger,Titolo del prompt non trovato.,Contenuto non trovato.
Scientists claim they've built an AI that can predict when people die,https://www.superhuman.ai/p/scientists-claim-theyve-built-ai-can-predict-people-die,Titolo del prompt non trovato.,Prompt used: convert this pdf into a word file
New AI from Stanford students can find the location of your photos,https://www.superhuman.ai/p/new-ai-stanford-students-can-find-location-photos,Titolo del prompt non trovato.,A person walking through a field of flowers
Our AI predictions for 2024,https://www.superhuman.ai/p/ai-predictions-2024,Titolo del prompt non trovato.,"A horse running in a field on a happy, sunny day"
The biggest things that happened in AI this year,https://www.superhuman.ai/p/biggest-things-happened-ai-year,Titolo del prompt non trovato.,"prompt 1: A product image of a Coca Cola can with floral patterns --v 6.0

prompt 2: A product image, mock up of a cereal box decorated with fruits, with the words ""Natural Cereal"" featured prominently --v 6.0"
Sam Altman and Jony Ive reportedly recruit iPhone design chief to build new AI device,https://www.superhuman.ai/p/sam-altman-jony-ive-reportedly-recruit-iphone-design-chief-build-new-ai-device,Titolo del prompt non trovato.,Contenuto non trovato.
AI powers a historic medical breakthrough,https://www.superhuman.ai/p/ai-powers-historic-medical-breakthrough,Titolo del prompt non trovato.,Create a table that compares top-selling women's running shoes
How to create incredible images with AI,https://www.superhuman.ai/p/create-incredible-images-ai,Titolo del prompt non trovato.,"1. A movie poster for Barbie starring blonde Reese Witherspoon with the stylized title ""Barbie"" --s 200 --v 6

2. Close up of a woman with raindrops on her face, brunette hair, deep blue eyes --v 6

3. A product photo of a soda can with a floral design pattern and the brand name ""Poppy"" --v 6.0

4. A vintage style travel poster with the shire from the Lord of the Rings titled ""Visit the Shire"" --v 6"
Bill Gates predict AI will be the shaping force in 2024,https://www.superhuman.ai/p/bill-gates-predict-ai-will-shaping-force-2024,Titolo del prompt non trovato.,"An electrifying dance track that takes you on a journey through the night, illuminated by neon lights and pulsating beats."
Politician uses AI to rally voters from jail,https://www.superhuman.ai/p/politician-uses-ai-rally-voters-jail,Titolo del prompt non trovato.,prompt: 1960s movie still two soldiers talking in a busy street
OpenAI's 6 strategies to write powerful prompts,https://www.superhuman.ai/p/openais-6-strategies-write-powerful-promots,Titolo del prompt non trovato.,"prompt: landing page for yoga online studio in the minimalistic style figma ui ux purple mint colors, to include about us section, testimonials, class description, yoga advantages"
Google and OpenAI share major research breakthroughs,https://www.superhuman.ai/p/google-openai-share-major-research-breakthroughs,Titolo del prompt non trovato.,Contenuto non trovato.
ChatGPT is getting access to news,https://www.superhuman.ai/p/chatgpt-getting-access-news,Titolo del prompt non trovato.,Contenuto non trovato.
Tesla's shows off AI-powered robots,https://www.superhuman.ai/p/teslas-shows-off-aipowered-robots,Titolo del prompt non trovato.,Contenuto non trovato.
ChatGPT is on winter break,https://www.superhuman.ai/p/chatgpt-winter-break,Titolo del prompt non trovato.,Contenuto non trovato.
Grok is off to a controversial but interesting start,https://www.superhuman.ai/p/grok-off-controversial-interesting-start,Titolo del prompt non trovato.,Contenuto non trovato.
Google's Gemini is polarizing opinions,https://www.superhuman.ai/p/googles-gemini-polarizing-opnions,Titolo del prompt non trovato.,Contenuto non trovato.
"Google changes the game with Gemini, its most capable AI model",https://www.superhuman.ai/p/google-changes-game-gemini-capable-ai-model,Titolo del prompt non trovato.,Contenuto non trovato.
Elon Musk looks to raise $1 Billion for xAI,https://www.superhuman.ai/p/elon-musk-looks-raise-1-billion-xai,Titolo del prompt non trovato.,Contenuto non trovato.
Why businesses aren't adopting AI (yet),https://www.superhuman.ai/p/businesses-arent-adopting-ai-yet,Titolo del prompt non trovato.,I am a beginner and I want to learn how to [insert skill]. Create a detailed 90 day training plan that can teach me this skill.
What happens when you give ChatGPT money,https://www.superhuman.ai/p/happens-give-chatgpt-money,Titolo del prompt non trovato.,"Prompt used: a christmas card, in the style of Bernard Villemot"
Amazon study finds employers are willing pay a premium for AI skills,https://www.superhuman.ai/p/amazon-study-finds-employers-willing-pay-premium-ai-skills,Titolo del prompt non trovato.,Prompt: a job posting poster for astronauts 1970s vintage design
Amazon goes big with new image model and processor,https://www.superhuman.ai/p/amazon-goes-big-new-image-model-processor,Titolo del prompt non trovato.,"Prompt: flat geometric illustration of a laptop [or other object], abstract, simple"
The ChatGPT moment for AI-generated video,https://www.superhuman.ai/p/chatgpt-moment-aigenerated-video,Titolo del prompt non trovato.,(Composition) + (Scene Description) + (Colours) + (Style of Shot)
European Central Bank study finds AI is not a threat to jobs,https://www.superhuman.ai/p/european-central-bank-study-finds-ai-not-threat-jobs,Titolo del prompt non trovato.,"“Summarise this YouTube video: [insert video link here]”

or 

""Transcribe this YouTube video""

or 

“Explain what is happening in the video from 1:00 onwards. [insert video link here]”"
How AI is impacting white collar jobs,https://www.superhuman.ai/p/ai-impacting-white-collar-jobs,Titolo del prompt non trovato.,"Provide a SWOT analysis based on the resume below for the job description below.

[copy paste job description from LinkedIn or Indeed]"
Inflection releases massive new AI model,https://www.superhuman.ai/p/inflection-releases-massive-new-ai-model,Titolo del prompt non trovato.,Prompt used: A futuristic version of a [insert brand name] car
What really happened at OpenAI,https://www.superhuman.ai/p/really-happened-openai,Titolo del prompt non trovato.,"Prompt: Photograph [insert object] for a sales catalog, ensuring the [insert object] is the sole focus with no additional visual elements. Center the [insert object], fully visible, in high detail to emphasize its design and quality. Use a plain grey background for a clean and professional look. Focus on natural, clear lighting to highlight the [insert object] features."
The chaos at OpenAI comes to an end,https://www.superhuman.ai/p/chaos-openai-comes-end,Titolo del prompt non trovato.,Prompt: photo of [your subject/object] --style 4yuG4HZyCHwGsXsx --ar 16:9
The chaos at OpenAI continues,https://www.superhuman.ai/p/chaos-openai-continues,Titolo del prompt non trovato.,I am a [insert your profession]. Give me 50 ChatGPT prompts that can help me be more productive in my job.
Absolute chaos,https://www.superhuman.ai/p/absolute-chaos,Titolo del prompt non trovato.,Contenuto non trovato.
AI videos are becoming a reality,https://www.superhuman.ai/p/ai-videos-becoming-reality,Titolo del prompt non trovato.,"Prompt: minimalist collage, futuristic office, people working, a robot, --v 5.2 --ar 16:9"
Microsoft launches a deepfake creator,https://www.superhuman.ai/p/microsoft-launches-deepfake-creator,Titolo del prompt non trovato.,Prompt: Create a poster for an event called [insert event name]. The location is [insert location]. The date and time is [insert time].
OpenAI confirms GPT-5 is coming,https://www.superhuman.ai/p/openai-confirms-gpt5-coming,Titolo del prompt non trovato.,"Vogue close-up spring summer clothing photoshoot portrait of a fashionable woman wearing artsy knitted jaquard sweater by hessnatur, made of natural fibres in a studio photography with some modern furniture. The focus is on the model's confident demeanor, showcasing the timeless appeal of hessnatur's sustainable fashion. The ensemble highlights the brand's focus on quality, natural fibers, and timeless style. - in the style of basic essential wardrobe, urban exploration, uniformly staged images, weathercore, hyperrealistic details - Dramatic photo, intense emotions, strong contrasts, dynamic lighting, and a captivating narrative - Muted Melancholy photography style, subtle and desaturated tones creating a calming and introspective atmosphere, evoking a sense of quiet beauty, detailed, intricate --ar 16:9"
Hollywood strike ends after AI deal,https://www.superhuman.ai/p/hollywood-strike-ends-ai-deal,Titolo del prompt non trovato.,Contenuto non trovato.
How to automate work with ChatGPT,https://www.superhuman.ai/p/automate-work-chatgpt,Titolo del prompt non trovato.,"Prompt used: dinosaurs dressed in marie antoinette costume dancing at ball in great hall at versailles with other dinosaurs dressed in fancy clothes watching, style of Vigée Le Brun, oil painting, detailed"
Ex-Apple employees release AI-powered wearable device,https://www.superhuman.ai/p/exapple-employees-release-aipowered-wearable-device,Titolo del prompt non trovato.,Contenuto non trovato.
ChatGPT experiences major outage,https://www.superhuman.ai/p/chatgpt-experiences-major-outage,Titolo del prompt non trovato.,"a factory production flowchart inside the brain, mushroomcore"
Samsung joins the AI party,https://www.superhuman.ai/p/samsung-joins-ai-party,Titolo del prompt non trovato.,"ccfca96f-1c2b-40b3-8795-c4cf1507bc92
extract key points from this research paper"
The Day That Changed Everything,https://www.superhuman.ai/p/day-changed-everything,Titolo del prompt non trovato.,Acrylic Painting style product photo of a mobile phone at the beach in the style of Tim Burton
Elon Musk launches ChatGPT rival,https://www.superhuman.ai/p/elon-musk-launches-chatgpt-rival,Titolo del prompt non trovato.,"Prompt used: Spiderman's last supper, Da Vinci, in the style of Picasso"
Brave Leo is like ChatGPT but safer,https://www.superhuman.ai/p/brave-leo-like-chatgpt-safer,Titolo del prompt non trovato.,Contenuto non trovato.
A new AI model beats ChatGPT at coding,https://www.superhuman.ai/p/new-ai-model-beats-chatgpt-coding,Titolo del prompt non trovato.,/tune prompt blue and green vibrant peacock
AI agents are the future of work,https://www.superhuman.ai/p/ai-agents-future-work,Titolo del prompt non trovato.,"Prompt used: comic books style, pop art style, 1960’s"
The AI-powered career coach,https://www.superhuman.ai/p/aipowered-career-coach,Titolo del prompt non trovato.,"Prompt: impressionist oil sketch with heavy impasto and brushwork, abruzzo landscape with a monastry and fields seen on a sunny summer day"
ChatGPT drops 2 massive new features,https://www.superhuman.ai/p/chatgpt-drops-2-massive-new-features,Titolo del prompt non trovato.,"Prompt used: Matthew Perry as Chandler Bing, oil on canvas"
"OpenAI builds team to stop ""catastrophic risks""",https://www.superhuman.ai/p/openai-builds-team-stop-catastrophic-risks,Titolo del prompt non trovato.,Contenuto non trovato.
Details of Google's GPT-4 competitor reportedly leaked,https://www.superhuman.ai/p/details-googles-gpt4-competitor-reportedly-leaked,Titolo del prompt non trovato.,Generate a 20 second video about universe explaining the basic details. Make the dimensions 16:9 and make the video engaging and easy to understand
Bill Gates thinks generative AI has reached a ceiling,https://www.superhuman.ai/p/bill-gates-thinks-generative-ai-reached-ceiling,Titolo del prompt non trovato.,Contenuto non trovato.
"Apple's big AI push: Siri, Music, Messages and more",https://www.superhuman.ai/p/apples-big-ai-push-siri-music-messages,Titolo del prompt non trovato.,"hyper realistic photograph, close up of a woman, reflection in her eye--v 5.2 --ar 16:9"
Nvidia's breakthrough teaches robots new tricks,https://www.superhuman.ai/p/nvidias-breakthrough-teaches-robots-new-tricks,Titolo del prompt non trovato.,"""run a basic analysis on the file I've uploaded"""
OpenAI debates releasing a new product,https://www.superhuman.ai/p/openai-debates-releasing-new-product,Titolo del prompt non trovato.,Contenuto non trovato.
Study warns robots make humans lazier,https://www.superhuman.ai/p/study-warns-robots-make-humans-lazier,Titolo del prompt non trovato.,Give me suggestions for improving the design of [insert product] also include a list of new possible functionalities that can be added to this [insert product]
"Study warns ChatGT can guess your job, race, and location",https://www.superhuman.ai/p/study-warns-chatgt-can-guess-job-race-location,Titolo del prompt non trovato.,Make a sprite sheet of 16 frames of a girl with sword running
China's Baidu launches ChatGPT rival,https://www.superhuman.ai/p/chinas-baidu-launches-chatgpt-rival,Titolo del prompt non trovato.,Contenuto non trovato.
Google transforms Search with image generation,https://www.superhuman.ai/p/google-transforms-search-image-generation,Titolo del prompt non trovato.,blue minimal icon set for a [insert type of product or website]
Report: Google employees 'slam' Bard,https://www.superhuman.ai/p/report-google-employees-slam-bard,Titolo del prompt non trovato.,Contenuto non trovato.
5 disruptive new ways to use ChatGPT,https://www.superhuman.ai/p/5-disruptive-new-ways-use-chatgpt,Titolo del prompt non trovato.,"A happy old age lady with a golden retriever in park, extreme detailed and realistic"
90s nostalgia app Epik hits number 1 on App Store,https://www.superhuman.ai/p/90s-nostalgia-app-epik-hits-number-1-app-store,Titolo del prompt non trovato.,"Knolling product photo of [object], surrounded by [objects] arranged on a clean background."
Adobe teases 'revolutionary' new AI tool,https://www.superhuman.ai/p/adobe-teases-revolutionary-new-ai-tool,Titolo del prompt non trovato.,"Flat illustration of an office worker standing in front of a dashboard with chart, green and beige, gradients"
AI's $200 Billion Question,https://www.superhuman.ai/p/ais-200-billion-question,Titolo del prompt non trovato.,@gmail Summarize my unread emails from today in Gmail
Canva's new AI features make everyone a designer,https://www.superhuman.ai/p/canvas-new-ai-features-make-everyone-designer,Titolo del prompt non trovato.,Contenuto non trovato.
Google's new phone has AI tricks (and a thermometer),https://www.superhuman.ai/p/googles-new-phone-ai-tricks-thermometer,Titolo del prompt non trovato.,Explain the process in this image in simple terms
LinkedIn's AI career coach,https://www.superhuman.ai/p/linkedins-ai-career-coach,Titolo del prompt non trovato.,"A 17th Century painting of a robot holding a sign that reads ""Hello Superhumans"""
The battle to build the new iPhone,https://www.superhuman.ai/p/battle-build-new-iphone,Titolo del prompt non trovato.,Contenuto non trovato.
Secret startup by ex-Apple employees debuts AI device,https://www.superhuman.ai/p/secret-startup-exapple-employees-debuts-ai-device,Titolo del prompt non trovato.,Contenuto non trovato.
5 new ways you can use ChatGPT,https://www.superhuman.ai/p/5-new-ways-can-use-chatgpt,Titolo del prompt non trovato.,Contenuto non trovato.
Meta launches its AI universe,https://www.superhuman.ai/p/meta-launches-ai-universe,Titolo del prompt non trovato.,"Please provide advice on creating a monthly budget with these financial details:

[Insert Financial Details Here]

Example Details:
1. Income sources and amounts:
2. Monthly expenses (recurring and one-time expenses):
3. Budgeting goal:
4. Dependents or family members' financial needs:
5. Preferred budgeting technique (if any):  
6. Future financial goals: 
7. Savings goals:
8. Financial constraints (if any):
9. Spending areas you need advice on:"
Report says OpenAI is working on a new device,https://www.superhuman.ai/p/report-says-openai-working-new-device,Titolo del prompt non trovato.,"a closeup photo of a [insert any object], isolated on a transparent white background --style raw --stylize 150"
"ChatGPT can now see, hear, and speak",https://www.superhuman.ai/p/chatgpt-can-now-see-hear-speak,Titolo del prompt non trovato.,"Spiderman, (image composition) --v 5.2"
Amazon invests $4 BILLION in OpenAI competitor,https://www.superhuman.ai/p/amazon-invests-4-billion-openai-competitor,Titolo del prompt non trovato.,Contenuto non trovato.
Microsoft unleashes Copilot,https://www.superhuman.ai/p/microsoft-unleashes-copilot,Titolo del prompt non trovato.,Contenuto non trovato.
OpenAI brings image generation to ChatGPT,https://www.superhuman.ai/p/openai-brings-image-generation-chatgpt,Titolo del prompt non trovato.,Contenuto non trovato.
AI and the $1.4 Trillion side hustle economy,https://www.superhuman.ai/p/ai-14-trillion-side-hustle-economy,Titolo del prompt non trovato.,"Painting of a medieval European street, Renaissance style, people roaming, 3d"
The next wave of AI will be interactive,https://www.superhuman.ai/p/next-wave-ai-will-interactive,Titolo del prompt non trovato.,"modern ios ui/ux design of a [type of app], professional ui design, award winning, figma"
MIT Study: 40% higher quality results for workers using AI,https://www.superhuman.ai/p/study-workers-using-ai-tools-produce-40-higher-quality-results,Titolo del prompt non trovato.,Contenuto non trovato.
The ChatGPT of music?,https://www.superhuman.ai/p/chatgpt-music,Titolo del prompt non trovato.,Contenuto non trovato.
AI heads to Washington,https://www.superhuman.ai/p/ai-heads-washington,Titolo del prompt non trovato.,"3 wide images of [a girl kayaking at the beach, blue waves, palm trees, 3d, unreal engine], multiple angles --niji --style scenic"
The tech Meta and Google were too afraid to release,https://www.superhuman.ai/p/tech-meta-google-afraid-release,Titolo del prompt non trovato.,"4 large png images, vector illustration pack, knolling style, no border, white background, [Group portraits and teamwork in office, business meetings, presentations], in the style of animated illustrations, [professional office atmosphere], full body --style raw --stylize 50"
ChatGPT beats 200 Wharton MBAs,https://www.superhuman.ai/p/chatgpt-beats-200-wharton-mbas,Titolo del prompt non trovato.,Create a social media post for instagram for a season end sale on electronics [or any other topic or item]
AI needs a lot of water,https://www.superhuman.ai/p/ai-needs-lot-water,Titolo del prompt non trovato.,"Please provide 3 strategies to address the following [challenges] when transitioning from a [current career] to a [desired new career]:

Challenges: [List the specific challenges here]

Current Profession: [Specify the current career field]

Target Profession: [Specify the desired career field]"
AI comes to war,https://www.superhuman.ai/p/ai-comes-war,Titolo del prompt non trovato.,Contenuto non trovato.
Your personal meeting assistant,https://www.superhuman.ai/p/personal-meeting-assistant,Titolo del prompt non trovato.,"One Line art drawing the text ""i like you a bot!"" and a cute robot, typography"
Amazon's AI powered hand reader,https://www.superhuman.ai/p/amazons-ai-powered-hand-reader,Titolo del prompt non trovato.,I'm working on a comprehensive report about [insert research topic]. Please conduct thorough research and develop a detailed guide with step-by-step instructions to assist readers in achieving [desired outcome]
🌎️ Island generates 10% of GDP from AI concidence,https://www.superhuman.ai/p/island-generates-30-gdp-ai-concidence,Titolo del prompt non trovato.,"Realistic photo of a robot in neon green colour with a sign that says ""SUPERHUMAN"", cinematic"
📚️ ChatGPT goes to school,https://www.superhuman.ai/p/chatgpt-goes-school,Titolo del prompt non trovato.,Show me a map or satellite map of (insert any location)
Tesla's $300million AI supercomputer,https://www.superhuman.ai/p/teslas-300million-ai-supercomputer,Titolo del prompt non trovato.,Contenuto non trovato.
LinkedIn: 21x increase in jobs mentioning ChatGPT,https://www.superhuman.ai/p/linkedin-21x-increase-jobs-mentioning-chatgpt,Titolo del prompt non trovato.,Create a bar chart of (insert topic) from this data:(paste your data or upload file)
Google puts productivity on steroids with Duet,https://www.superhuman.ai/p/google-puts-productivity-steroids-duet,Titolo del prompt non trovato.,"An intricate chart with data points, 2D, investment and finance concept [or other concept], high detail, 8K --ar 4:3 --v 5.2"
Supercharged ChatGPT for businesses,https://www.superhuman.ai/p/supercharged-chatgpt-businesses,Titolo del prompt non trovato.,Create a storytelling video on the topic of (insert any topic) using the Visla Plugin. Brainstorm the various elements that the Visla plugin requires for input and list them out. Then generate the video.
💀 CrimeGPT,https://www.superhuman.ai/p/crimegpt,Titolo del prompt non trovato.,"Close-up of a flow chart explaining a business process, 2D, high detail, 8K --v 5.2"
Meta Goes Mega,https://www.superhuman.ai/p/meta-goes-mega,Titolo del prompt non trovato.,"aerial photography of London [or city of your choice], beautiful architecture, stunning view, city lights, golden hour --ar 3:2"
A TV show with no ending,https://www.superhuman.ai/p/aug-24,Titolo del prompt non trovato.,"a young woman with sunglasses and dark hair, wearing a plain black t-shirt and dark denim jeans with light color background --style raw"
🕳️ A $250 million dollar hole in the pocket,https://www.superhuman.ai/p/250-million-dollar-hole-pocket,Titolo del prompt non trovato.,Create a custom formula and apply it to the data to generate total revenue by location [or some other objective of your choice]
IBM says 1.4 billion people to be reskilled for AI,https://www.superhuman.ai/p/ibm-says-14-billion-people-reskilled-ai,Titolo del prompt non trovato.,"star trails, photography, Tokyo Japan --v5.2 [or other location]"
Why be real when it’s fun to be fake,https://www.superhuman.ai/p/real-fun-fake,Titolo del prompt non trovato.,"a modern (insert item) logo, minimalist design, (insert color scheme) monochromatic color scheme, sleek and simple shapes, clean lines, geometric abstraction, negative space, subtle gradients, retro vibe, (insert background) color background"
The AI app taking over the internet,https://www.superhuman.ai/p/ai-app-taking-internet,Titolo del prompt non trovato.,Contenuto non trovato.
Snapchat's AI goes rogue and posts pictures,https://www.superhuman.ai/p/snapchats-ai-goes-rogue-posts-pictures,Titolo del prompt non trovato.,"Filter the data to include only rows where the salary is [X=salary is greater than or equal to $500], then sort the data by [y=age]."
👬  You can now clone yourself with AI,https://www.superhuman.ai/p/can-now-clone-ai,Titolo del prompt non trovato.,"Minimalism, pop art collage, dadaist photomontage, color splash, vibrant urban, digital fashion"
🚨  FraudGPT,https://www.superhuman.ai/p/fraudgpt,Titolo del prompt non trovato.,"[Describe product], [Describe purpose], [Style: Minimalistic], [Mood: Sophisticated], [Medium: Digital] Create sleek and modern black and white product images with sophistication and class. Keep the designs minimalistic yet impactful with clean lines, bold typography and clever use of negative space --v 5.2"
The $200 Trillion prediction,https://www.superhuman.ai/p/200-trillion-prediction,Titolo del prompt non trovato.,Combine the data from the 2 spreadsheets and generate one spreadsheet with all the data
82% of Americans distrust AI,https://www.superhuman.ai/p/82-americans-distrust-ai,Titolo del prompt non trovato.,Analyze the data and generate a list of insights from the spreadsheet
5 key charts to understand AI’s impact,https://www.superhuman.ai/p/5-key-charts-understand-ais-impact,Titolo del prompt non trovato.,"modern, isometric blender 3D model, Burj Khalifa Dubai [or building of your choice], MMORPG structure, sculpted details, dark Background --style raw"
How to protect your passwords from AI 🔒️,https://www.superhuman.ai/p/protect-passwords-ai,Titolo del prompt non trovato.,“I want to create an ad for [product/service] that evokes emotions and resonates with [target audience]. Write copy that will connect with them on a deeper level. Generate 5 different pieces of copy”
ChatGPT launches 6 major upgrades,https://www.superhuman.ai/p/chatgpt-launches-6-major-upgrades,Titolo del prompt non trovato.,"A sleek, modernist office building in the style of Le Corbusier [or architect of choice], surrounded by a vast, grassy park and featuring a large, rectangular pool and plenty of sunlight streaming in through large, geometric windows."
5 Key AI trends from 2023,https://www.superhuman.ai/p/5-key-ai-trends-2023,Titolo del prompt non trovato.,Analyze the spreadsheet I've uploaded and generate charts to visualize the data.
💃  AI-generated influencers are making millions,https://www.superhuman.ai/p/aigenerated-influencers-making-millions,Titolo del prompt non trovato.,"Topic: Mastering the art of persuasive writing
Audience: Business executives
Format: Speech
Tone: Inspirational and informative 
Goal: Inspire the audience to write effectively
Additional instructions: The speech should be under 10 minutes"
Billionaire CEO wants AI weapons,https://www.superhuman.ai/p/billionaire-ceo-wants-ai-weapons,Titolo del prompt non trovato.,Contenuto non trovato.
How to protect your photos from AI,https://www.superhuman.ai/p/protect-photos-ai,Titolo del prompt non trovato.,Contenuto non trovato.
OpenAI is working on GPT-5,https://www.superhuman.ai/p/openai-working-gpt5,Titolo del prompt non trovato.,"Landing Page for [subject website], header, hero, cta, UX, UI, full page, beautiful website, usability, high resolution, CSS design award"
5 ways to get results with AI,https://www.superhuman.ai/p/5-ways-get-results-ai,Titolo del prompt non trovato.,Do a basic analysis on the file i uploaded
LinkedIn allegedly working on new AI coach,https://www.superhuman.ai/p/28-july,Titolo del prompt non trovato.,Contenuto non trovato.
🤖 Here's why AI isn't going to take your job:,https://www.superhuman.ai/p/heres-ai-isnt-going-take-job,Titolo del prompt non trovato.,Contenuto non trovato.
